[2019-04-23 11:43:13,691] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:43:13,818] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:43:13,822] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:43:13,822] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:43:13,845] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:43:58,503] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:43:58,503] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:43:58,545] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:43:58,674] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:43:58,678] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:43:58,678] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:43:58,700] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:44:24,997] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:44:24,999] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:44:25,042] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:44:25,183] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:44:25,187] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:44:25,187] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:44:25,210] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:44:46,516] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:44:46,516] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:44:46,556] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:44:46,687] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:44:46,693] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:44:46,693] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:44:46,714] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:44:56,901] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:44:56,901] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:44:56,941] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:44:57,069] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:44:57,073] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:44:57,075] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:44:57,098] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:46:14,012] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:46:14,012] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:46:14,052] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:46:14,178] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:46:14,184] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:46:14,184] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:46:14,206] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:46:14,207] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:46:19,214] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:46:50,236] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:46:50,236] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:46:50,276] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:46:50,404] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:46:50,410] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:46:50,410] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:46:50,430] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:46:50,431] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:46:55,438] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:48:06,677] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:48:06,677] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:48:06,717] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:48:06,848] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:48:06,851] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:48:06,852] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:48:06,874] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:48:06,874] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:48:11,881] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:49:06,171] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:49:06,171] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:49:06,210] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:49:06,338] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:49:06,344] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:49:06,344] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:49:06,367] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:49:06,367] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:49:11,374] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:50:13,595] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:50:13,595] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:50:13,634] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:50:13,772] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:50:13,776] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:50:13,776] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:50:13,802] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:50:13,803] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
